Model,Augmentasi,Freeze,Learning Rate,Layer,Optimizer,Result Train,Validation,Test,Test Loss,Time (min),Epoch
VGG,Yes,Full,0.001,1,SGD,0.2082,0.5488,0.5149,2.63,67,50
VGG,Yes,½,0.001,1,SGD,0.9952,0.9942,0.9921,0.04196,62,30
VGG,Yes,None,0.001,1,SGD,0.9871,0.9913,0.9921,0.02506,50,13
VGG,Yes,Full,0.0001,1,SGD,0.0678,0.1169,0.1089,2.9505,66,50
VGG,Yes,½,0.0001,1,SGD,0.9698,0.9836,0.9762,0.073,107,50
VGG,Yes,None,0.0001,1,SGD,0.9645,0.9826,0.9812,0.0584,118,33
VGG,Yes,Full,0.001,2,SGD,0.2265,0.5343,0.4871,2.383,65,50
VGG,Yes,½,0.001,2,SGD,0.9918,0.9932,0.9842,0.06673,59,28
VGG,Yes,None,0.001,2,SGD,0.9886,0.9942,0.9822,0.09146,72,19
VGG,Yes,Full,0.0001,2,SGD,0.074,0.2174,0.2337,2.915,67,50
VGG,Yes,½,0.0001,2,SGD,0.9121,0.9797,0.9762,0.08022,107,50
VGG,Yes,None,0.0001,2,SGD,0.9454,0.9826,0.9881,0.04981,185,50
VGG,Yes,Full,0.001,1,Adam,0.7398,0.9072,0.8693,0.5943,66,50
VGG,Yes,½,0.001,1,Adam,0.0545,0.0531,0.0545,2.994,15,7
VGG,Yes,None,0.001,1,Adam,0.0545,0.0531,0.0545,2.994,25,7
VGG,Yes,Full,0.0001,1,Adam,0.6087,0.8348,0.7941,1.449,66,50
VGG,Yes,½,0.0001,1,Adam,0.0552,0.0531,0.0545,2.994,47,23
VGG,Yes,None,0.0001,1,Adam,0.0552,0.0531,0.0545,2.994,86,23
VGG,Yes,Full,0.001,2,Adam,0.7774,0.9343,0.8941,0.3778,45,34
VGG,Yes,½,0.001,2,Adam,0.0547,0.0531,0.0545,2.994,23,11
VGG,Yes,None,0.001,2,Adam,0.0544,0.0531,0.0545,2.994,21,6
VGG,Yes,Full,0.0001,2,Adam,0.7322,0.9072,0.8822,0.4589,65,50
VGG,Yes,½,0.0001,2,Adam,0.0539,0.0531,0.0545,2.994,16,8
VGG,Yes,None,0.0001,2,Adam,0.9931,0.9961,0.9851,0.07386,66,19
