Id,Model,Augmentasi,Freeze,Learning Rate,Layer,Optimizer,Train,Validation,Test,Test Loss,Time (min),Epoch
65,Inception,Yes,None,0.0001,1,Adam,0.9982,0.9961,1,0.002035,38,14
89,Inception,No,None,0.0001,1,Adam,0.9991,0.9952,1,0.004126,11,19
62,Inception,Yes,None,0.001,1,Adam,0.9956,1,0.996,0.00795,74,27
68,Inception,Yes,None,0.001,2,Adam,0.9949,0.9942,0.996,0.009453,52,19
50,Inception,Yes,None,0.001,1,SGD,0.999,0.9903,0.9921,0.02624,65,23
56,Inception,Yes,None,0.001,2,SGD,0.9996,0.9961,0.9901,0.03117,79,31
74,Inception,No,None,0.001,1,SGD,0.9988,0.9952,0.9901,0.05131,28,50
86,Inception,No,None,0.001,1,Adam,0.9882,0.9952,0.9901,0.04759,9,16
91,Inception,No,½,0.001,2,Adam,0.9962,0.9903,0.9901,0.03443,5,17
95,Inception,No,None,0.0001,2,Adam,0.9941,1,0.9901,0.03589,8,14
25,VGG,No,½,0.001,1,SGD,0.9838,0.9903,0.995,0.1023,22,44
40,VGG,No,½,0.0001,1,Adam,0.9971,1,0.995,0.01521,18,35
1,VGG,Yes,½,0.001,1,SGD,0.9952,0.9942,0.9921,0.04196,62,30
2,VGG,Yes,None,0.001,1,SGD,0.9871,0.9913,0.9921,0.02506,50,13
31,VGG,No,½,0.001,2,SGD,0.9471,0.9855,0.9901,0.0664,19,39
46,VGG,No,½,0.0001,2,Adam,0.9927,0.9952,0.9901,0.02785,24,50
11,VGG,Yes,None,0.0001,2,SGD,0.9454,0.9826,0.9881,0.04981,185,50
23,VGG,Yes,None,0.0001,2,Adam,0.9931,0.9961,0.9851,0.07386,66,19
26,VGG,No,None,0.001,1,SGD,0.9888,0.9807,0.9851,0.1034,26,28
7,VGG,Yes,½,0.001,2,SGD,0.9918,0.9932,0.9842,0.06673,59,28
134,Xception,No,None,0.001,1,Adam,0.9815,0.9855,1,0.01162,10,9
113,Xception,Yes,None,0.0001,1,Adam,0.9992,0.9981,0.997,0.01017,45,10
104,Xception,Yes,None,0.001,2,SGD,0.9991,0.9865,0.996,0.0247,221,50
116,Xception,Yes,None,0.001,2,Adam,0.9912,0.9971,0.9931,0.02588,44,10
119,Xception,Yes,None,0.0001,2,Adam,0.999,1,0.9921,0.0427,83,19
98,Xception,Yes,None,0.001,1,SGD,0.9994,0.9894,0.9911,0.03065,220,50
115,Xception,Yes,½,0.001,2,Adam,0.9949,0.9981,0.9911,0.02447,37,13
137,Xception,No,None,0.0001,1,Adam,0.9982,0.9903,0.9901,0.02281,11,11
110,Xception,Yes,None,0.001,1,Adam,0.9949,0.9971,0.9881,0.0348,52,12
109,Xception,Yes,½,0.001,1,Adam,0.992,0.9971,0.9871,0.041,23,8
