Model,Augmentasi,Freeze,Learning Rate,Layer,Optimizer,Result Train,Validation,Test,Test Loss,Time (min),Epoch
Inception,Yes,Full,0.001,2,Adam,0.676,0.7826,0.7139,0.9137,46,39
Inception,Yes,Full,0.0001,2,Adam,0.6966,0.7797,0.7119,0.9209,60,50
Inception,No,Full,0.001,2,Adam,0.6143,0.7343,0.7079,1.012,9,31
Inception,Yes,None,0.0001,1,Adam,0.9982,0.9961,1.0,0.002035,38,14
Inception,No,None,0.0001,1,Adam,0.9991,0.9952,1.0,0.004126,11,19
Inception,Yes,None,0.001,1,Adam,0.9956,1.0,0.996,0.00795,74,27
Inception,No,½,0.001,2,Adam,0.9962,0.9903,0.9901,0.03443,5,17
Inception,Yes,½,0.001,1,Adam,0.9942,0.9903,0.9891,0.04008,26,14
Inception,No,½,0.001,1,Adam,0.9903,0.9855,0.9851,0.04975,3,11
VGG,No,Full,0.001,2,Adam,0.7333,0.9179,0.9109,0.448,12,43
VGG,Yes,Full,0.001,2,Adam,0.7774,0.9343,0.8941,0.3778,45,34
VGG,Yes,Full,0.0001,2,Adam,0.7322,0.9072,0.8822,0.4589,65,50
VGG,Yes,None,0.001,1,SGD,0.9871,0.9913,0.9921,0.02506,50,13
VGG,Yes,None,0.0001,2,SGD,0.9454,0.9826,0.9881,0.04981,185,50
VGG,Yes,None,0.0001,2,Adam,0.9931,0.9961,0.9851,0.07386,66,19
VGG,No,½,0.001,1,SGD,0.9838,0.9903,0.995,0.1023,22,44
VGG,No,½,0.0001,1,Adam,0.9971,1.0,0.995,0.01521,18,35
VGG,Yes,½,0.001,1,SGD,0.9952,0.9942,0.9921,0.04196,62,30
Xception,Yes,Full,0.0001,2,Adam,0.8766,0.9082,0.8703,0.3934,90,50
Xception,Yes,Full,0.001,1,Adam,0.8375,0.8937,0.8614,0.5,61,36
Xception,Yes,Full,0.001,2,Adam,0.8606,0.8976,0.8535,0.4346,35,20
Xception,No,None,0.001,1,Adam,0.9815,0.9855,1.0,0.01162,10,9
Xception,Yes,None,0.0001,1,Adam,0.9992,0.9981,0.997,0.01017,45,10
Xception,Yes,None,0.001,2,SGD,0.9991,0.9865,0.996,0.0247,221,50
Xception,Yes,½,0.001,2,Adam,0.9949,0.9981,0.9911,0.02447,37,13
Xception,Yes,½,0.001,1,Adam,0.992,0.9971,0.9871,0.041,23,8
Xception,Yes,½,0.0001,1,Adam,0.9985,0.9874,0.9871,0.05628,25,9
