epoch,accuracy,loss,val_accuracy,val_loss,source,Model,Augmentasi,Freeze,Learning Rate,Layer,Optimizer
0,0.9030552506446838,0.3443515300750732,0.990338146686554,0.0390556044876575,1,Inception,Yes,None,0.0001,1,Adam
1,0.9940658211708068,0.0209903363138437,0.9855072498321532,0.0427055917680263,1,Inception,Yes,None,0.0001,1,Adam
2,0.9960047006607056,0.0176368411630392,0.992270529270172,0.0217275172472,1,Inception,Yes,None,0.0001,1,Adam
3,0.9965922236442566,0.0141662741079926,0.9961352944374084,0.0194821860641241,1,Inception,Yes,None,0.0001,1,Adam
4,0.9954758882522584,0.0153644382953643,0.9961352944374084,0.0143171204254031,1,Inception,Yes,None,0.0001,1,Adam
5,0.9970034956932068,0.0120450230315327,0.9777777791023254,0.0675515681505203,1,Inception,Yes,None,0.0001,1,Adam
6,0.9970622658729552,0.0120112216100096,0.9942029118537904,0.0192884895950555,1,Inception,Yes,None,0.0001,1,Adam
7,0.998237371444702,0.0071878228336572,0.9961352944374084,0.0110339000821113,1,Inception,Yes,None,0.0001,1,Adam
8,0.9986486434936525,0.006252683699131,0.9990338087081908,0.0020199683494865,1,Inception,Yes,None,0.0001,1,Adam
9,0.9960047006607056,0.014945582486689,0.9864734411239624,0.0323744677007198,1,Inception,Yes,None,0.0001,1,Adam
10,0.9980023503303528,0.0059195440262556,0.991304337978363,0.0427365414798259,1,Inception,Yes,None,0.0001,1,Adam
11,0.9995887279510498,0.0021411757916212,0.9942029118537904,0.0180259589105844,1,Inception,Yes,None,0.0001,1,Adam
12,0.9993537068367004,0.0042748958803713,0.9932367205619812,0.0199074856936931,1,Inception,Yes,None,0.0001,1,Adam
13,0.9952996373176576,0.0193042010068893,0.991304337978363,0.0270090606063604,1,Inception,Yes,None,0.0001,1,Adam
0,0.5616921186447144,1.5194206237792969,0.8792270421981812,0.4015862643718719,10,Inception,No,None,0.0001,2,Adam
1,0.9474148154258728,0.1861188858747482,0.9758453965187072,0.0565851330757141,10,Inception,No,None,0.0001,2,Adam
2,0.9850175976753236,0.0612952671945095,0.9855072498321532,0.0998590141534805,10,Inception,No,None,0.0001,2,Adam
3,0.9841362833976746,0.0521035082638263,0.966183602809906,0.1327407360076904,10,Inception,No,None,0.0001,2,Adam
4,0.9920681715011596,0.0322430245578289,0.990338146686554,0.0219741091132164,10,Inception,No,None,0.0001,2,Adam
5,0.9905992746353148,0.0354512855410575,0.966183602809906,0.1120734214782714,10,Inception,No,None,0.0001,2,Adam
6,0.9853113889694214,0.0521982200443744,0.9806763529777528,0.0523228496313095,10,Inception,No,None,0.0001,2,Adam
7,0.9926556944847108,0.025140181183815,0.990338146686554,0.0236075464636087,10,Inception,No,None,0.0001,2,Adam
8,0.9941245317459106,0.0243483986705541,1.0,0.0041307262144982,10,Inception,No,None,0.0001,2,Adam
9,0.9967685341835022,0.0150284515693783,0.990338146686554,0.0288240555673837,10,Inception,No,None,0.0001,2,Adam
10,0.9985311627388,0.0044655255042016,0.9855072498321532,0.0608945004642009,10,Inception,No,None,0.0001,2,Adam
11,0.9950058460235596,0.0154605731368064,0.9275362491607666,0.2062142640352249,10,Inception,No,None,0.0001,2,Adam
12,0.9958872199058532,0.0157964639365673,0.9806763529777528,0.1401197910308838,10,Inception,No,None,0.0001,2,Adam
13,0.9923619031906128,0.0338899679481983,0.9758453965187072,0.0883073285222053,10,Inception,No,None,0.0001,2,Adam
0,0.11175087839365,2.913339614868164,0.5053139925003052,2.314472198486328,11,VGG,Yes,½,0.001,1,SGD
1,0.5338425636291504,1.4872101545333862,0.886956512928009,0.5112740397453308,11,VGG,Yes,½,0.001,1,SGD
2,0.8072267770767212,0.5758365988731384,0.9594202637672424,0.1881256997585296,11,VGG,Yes,½,0.001,1,SGD
3,0.8955934047698975,0.3197337985038757,0.9690821170806884,0.1375101655721664,11,VGG,Yes,½,0.001,1,SGD
4,0.9310223460197448,0.2133510112762451,0.9652174115180968,0.130778357386589,11,VGG,Yes,½,0.001,1,SGD
5,0.9545828700065612,0.1526059210300445,0.9768115878105164,0.0922574698925018,11,VGG,Yes,½,0.001,1,SGD
6,0.966509997844696,0.1171788349747657,0.982608675956726,0.0498307421803474,11,VGG,Yes,½,0.001,1,SGD
7,0.97115159034729,0.0929014533758163,0.9835748672485352,0.0447745025157928,11,VGG,Yes,½,0.001,1,SGD
8,0.9800822734832764,0.0693026334047317,0.9845410585403442,0.0475922040641307,11,VGG,Yes,½,0.001,1,SGD
9,0.983489990234375,0.0603192299604415,0.990338146686554,0.0362385921180248,11,VGG,Yes,½,0.001,1,SGD
10,0.985076367855072,0.0516779758036136,0.9806763529777528,0.0574633553624153,11,VGG,Yes,½,0.001,1,SGD
11,0.9866039752960204,0.0464530922472476,0.990338146686554,0.0283675882965326,11,VGG,Yes,½,0.001,1,SGD
12,0.9867215156555176,0.0429008342325687,0.9884058237075806,0.0318850316107273,11,VGG,Yes,½,0.001,1,SGD
13,0.9898355007171632,0.0369428470730781,0.9893719553947448,0.0351059176027774,11,VGG,Yes,½,0.001,1,SGD
14,0.9907755851745604,0.0335131026804447,0.991304337978363,0.033350370824337,11,VGG,Yes,½,0.001,1,SGD
15,0.9923619031906128,0.0281312353909015,0.9932367205619812,0.0227318257093429,11,VGG,Yes,½,0.001,1,SGD
16,0.9930081963539124,0.0248481184244155,0.9942029118537904,0.0206111650913953,11,VGG,Yes,½,0.001,1,SGD
17,0.9936545491218568,0.0236385948956012,0.991304337978363,0.0281812325119972,11,VGG,Yes,½,0.001,1,SGD
18,0.9936545491218568,0.023155715316534,0.9951691031455994,0.0191376600414514,11,VGG,Yes,½,0.001,1,SGD
19,0.9937132596969604,0.0218380466103553,0.9951691031455994,0.0161961428821086,11,VGG,Yes,½,0.001,1,SGD
20,0.995064616203308,0.0190784204751253,0.991304337978363,0.0223377104848623,11,VGG,Yes,½,0.001,1,SGD
21,0.9945358633995056,0.0198656469583511,0.9951691031455994,0.0169044062495231,11,VGG,Yes,½,0.001,1,SGD
22,0.995358407497406,0.0179832559078931,0.9932367205619812,0.019264655187726,11,VGG,Yes,½,0.001,1,SGD
